variable,train_corr,test_corr,abs_train,abs_test,diff,pval
k1,0.040514449202543726,0.041715272148833214,0.040514449202543726,0.041715272148833214,0.0012008229462894884,0.08616161473675236
SPX,0.03942444693682538,0.038097819095020635,0.03942444693682538,0.038097819095020635,0.0013266278418047478,0.09495923315757257
net_credit_diff,-0.03873315107223597,-0.11499282225565463,0.03873315107223597,0.11499282225565463,0.07625967118341867,0.10090188925563784
price_mid_short3,0.038419642937243294,0.032978055406232706,0.038419642937243294,0.032978055406232706,0.005441587531010587,0.10369276023892693
iv_k3,0.03418789483361121,0.029823058113252313,0.03418789483361121,0.029823058113252313,0.004364836720358898,0.14765401705918696
price_bid_short3,0.032244143523055574,0.029228918722626195,0.032244143523055574,0.029228918722626195,0.0030152248004293794,0.17209430562039735
net_credit_mediana_n,-0.028619448402382813,-0.04786241381794921,0.028619448402382813,0.04786241381794921,0.019242965415566395,0.22553674379355967
SPX_BB_Width,0.02320514658402701,0.010135285840155566,0.02320514658402701,0.010135285840155566,0.013069860743871444,0.3259442018768541
PnLDV,0.02229063691164593,0.12521758636210595,0.02229063691164593,0.12521758636210595,0.10292694945046002,0.3452429188903002
RATIO_BATMAN,-0.021551385272296636,-0.012513186149353909,0.021551385272296636,0.012513186149353909,0.009038199122942727,0.3614808616852316
FF_BAT,0.0180851223526168,0.09233545589114399,0.0180851223526168,0.09233545589114399,0.0742503335385272,0.4711356498570962
SPX_DailyChange,-0.01796263182486569,0.0015358941027401696,0.01796263182486569,0.0015358941027401696,0.01949852592760586,0.4470455368918513
RATIO_UEL_EARS,0.014967294862188013,-0.055240481096972355,0.014967294862188013,0.055240481096972355,0.07020777595916036,0.5262637439304262
theta_total,-0.012313208930949109,0.09065193600462793,0.012313208930949109,0.09065193600462793,0.10296514493557704,0.6021330720357501
SPX_ATR14,0.00957283660972827,-0.022884189751013934,0.00957283660972827,0.022884189751013934,0.03245702636074221,0.6853376540862685
delta_k3,-0.008969489706824514,-0.004219971183673513,0.008969489706824514,0.004219971183673513,0.004749518523151001,0.704125626277479
delta_k1,-0.0041984047888703946,-0.05978930453721674,0.0041984047888703946,0.05978930453721674,0.05559089974834634,0.8589173219275289
